,Player,Position,Team,Opponent,Salary,% ownership
0,Puka Nacua,WR,LAR,@BAL,"$8,700",30.7%
1,Christian McCaffrey,RB,SF,@TB,"$8,400",28.9%
2,Javonte Williams,RB,DAL,@CAR,"$6,400",22.2%
3,Chris Olave,WR,NO,NE,"$5,100",21.8%
4,Rachaad White,RB,TB,SF,"$6,000",21.6%
5,Trey McBride,TE,ARI,@IND,"$5,500",21.1%
6,Kyren Williams,RB,LAR,@BAL,"$6,300",21.0%
7,Rico Dowdle,RB,CAR,DAL,"$5,800",20.6%
8,Josh Jacobs,RB,GB,CIN,"$7,300",20.2%
9,Jaxon Smith-Njigba,WR,SEA,@JAX,"$7,600",19.9%
10,Tyler Warren,TE,IND,ARI,"$4,900",16.5%
11,Ashton Jeanty,RB,LV,TEN,"$6,900",15.6%
12,Jake Ferguson,TE,DAL,@CAR,"$5,300",14.9%
13,Stefon Diggs,WR,NE,@NO,"$5,800",14.3%
14,George Pickens,WR,DAL,@CAR,"$6,800",13.8%
15,Jaylen Warren,RB,PIT,CLE,"$5,400",13.8%
16,Jonathan Taylor,RB,IND,ARI,"$8,500",13.8%
17,Tetairoa McMillan,WR,CAR,DAL,"$6,000",13.7%
18,De'Von Achane,RB,MIA,LAC,"$7,800",13.5%
19,Jaylen Waddle,WR,MIA,LAC,"$6,100",13.2%
20,Quinshon Judkins,RB,CLE,@PIT,"$5,900",12.9%
22,Tucker Kraft,TE,GB,CIN,"$4,700",11.9%
23,Justin Herbert,QB,LAC,@MIA,"$6,300",11.8%
24,Emeka Egbuka,WR,TB,SF,"$7,200",11.8%
25,Michael Pittman Jr.,WR,IND,ARI,"$5,400",11.7%
26,Drake Maye,QB,NE,@NO,"$5,900",11.0%
27,Quentin Johnston,WR,LAC,@MIA,"$5,900",10.7%
28,Zay Flowers,WR,BAL,LAR,"$5,900",10.7%
29,Trevor Lawrence,QB,JAX,SEA,"$5,100",10.3%
30,Keenan Allen,WR,LAC,@MIA,"$5,600",10.1%
31,Marvin Harrison Jr.,WR,ARI,@IND,"$5,300",9.8%
32,Daniel Jones,QB,IND,ARI,"$6,000",9.8%
33,Davante Adams,WR,LAR,@BAL,"$6,700",9.5%
34,Brian Thomas Jr.,WR,JAX,SEA,"$6,200",9.5%
36,Travis Etienne Jr.,RB,JAX,SEA,"$5,900",9.4%
37,Jakobi Meyers,WR,LV,TEN,"$5,800",8.3%
39,Ladd McConkey,WR,LAC,@MIA,"$5,700",8.1%
40,DK Metcalf,WR,PIT,CLE,"$5,500",8.0%
42,Cooper Kupp,WR,SEA,@JAX,"$4,600",7.4%
44,Hunter Long,TE,JAX,SEA,"$2,500",7.2%
45,Jordan Love,QB,GB,CIN,"$6,200",7.2%
46,Baker Mayfield,QB,TB,SF,"$6,600",7.0%
47,Hunter Henry,TE,NE,@NO,"$4,300",6.9%
48,Kyler Murray,QB,ARI,@IND,"$5,700",6.6%
50,Josh Downs,WR,IND,ARI,"$4,300",6.3%
51,Dak Prescott,QB,DAL,@CAR,"$6,500",6.3%
53,Chris Godwin Jr.,WR,TB,SF,"$5,600",6.1%
54,Derrick Henry,RB,BAL,LAR,"$6,200",5.8%
55,Darren Waller,TE,MIA,LAC,"$4,000",5.8%
56,Jake Tonges,TE,SF,@TB,"$3,700",5.6%
58,Michael Carter,RB,ARI,@IND,"$5,300",5.4%
59,Juwan Johnson,TE,NO,NE,"$3,300",5.4%
60,Dontayvion Wicks,WR,GB,CIN,"$3,700",5.2%
61,Ryan Flournoy,WR,DAL,@CAR,"$3,600",5.2%
62,Tony Pollard,RB,TEN,@LV,"$5,500",5.1%
63,Bryce Young,QB,CAR,DAL,"$4,800",5.1%
64,Chase Brown,RB,CIN,@GB,"$5,600",5.0%
66,Rashid Shaheed,WR,NO,NE,"$4,600",4.9%
67,Ja'Marr Chase,WR,CIN,@GB,"$7,700",4.8%
68,Tre Tucker,WR,LV,TEN,"$4,800",4.8%
69,Romeo Doubs,WR,GB,CIN,"$5,200",4.3%
70,Matthew Stafford,QB,LAR,@BAL,"$6,400",4.2%
71,Spencer Rattler,QB,NO,NE,"$4,700",4.0%
72,Calvin Ridley,WR,TEN,@LV,"$4,900",3.9%
73,Jalen Tolbert,WR,DAL,@CAR,"$3,500",3.8%
75,Matthew Golden,WR,GB,CIN,"$5,000",3.7%
76,David Njoku,TE,CLE,@PIT,"$3,500",3.7%
78,Alvin Kamara,RB,NO,NE,"$5,700",3.6%
79,Kendrick Bourne,WR,SF,@TB,"$5,000",3.5%
81,TreVeyon Henderson,RB,NE,@NO,"$5,200",3.5%
82,Geno Smith,QB,LV,TEN,"$5,200",3.4%
83,Mac Jones,QB,SF,@TB,"$5,600",3.3%
84,Rhamondre Stevenson,RB,NE,@NO,"$5,300",3.3%
85,Sam Darnold,QB,SEA,@JAX,"$5,400",3.3%
86,Malik Washington,WR,MIA,LAC,"$3,700",3.2%
94,Jerry Jeudy,WR,CLE,@PIT,"$4,500",2.6%
95,Tommy Tremble,TE,CAR,DAL,"$2,600",2.5%
96,Dyami Brown,WR,JAX,SEA,"$4,200",2.5%
97,Cade Otton,TE,TB,SF,"$3,400",2.4%
98,Michael Mayer,TE,LV,TEN,"$3,100",2.4%
99,Travis Hunter,WR,JAX,SEA,"$4,700",2.3%
100,Mark Andrews,TE,BAL,LAR,"$3,800",2.1%
101,Jonnu Smith,TE,PIT,CLE,"$3,200",2.0%
102,Tee Higgins,WR,CIN,@GB,"$5,700",2.0%
103,Oronde Gadsden II,TE,LAC,@MIA,"$2,600",1.7%
104,Demarcus Robinson,WR,SF,@TB,"$3,600",1.7%
105,Jalen Coker,WR,CAR,DAL,"$4,200",1.7%
106,Elic Ayomanor,WR,TEN,@LV,"$3,900",1.7%
107,Aaron Rodgers,QB,PIT,CLE,"$5,300",1.6%
108,Harold Fannin Jr.,TE,CLE,@PIT,"$3,400",1.6%
109,Kayshon Boutte,WR,NE,@NO,"$3,800",1.5%
111,Tua Tagovailoa,QB,MIA,LAC,"$5,500",1.4%
112,Sterling Shepard,WR,TB,SF,"$3,800",1.4%
113,AJ Barner,TE,SEA,@JAX,"$3,600",1.4%
114,Isaiah Bond,WR,CLE,@PIT,"$3,700",1.4%
115,Joe Flacco,QB,CIN,@GB,"$4,000",1.4%
116,Chig Okonkwo,TE,TEN,@LV,"$3,300",1.2%
117,Michael Wilson,WR,ARI,@IND,"$3,300",1.2%
118,Kenneth Walker III,RB,SEA,@JAX,"$6,100",1.1%
119,Xavier Legette,WR,CAR,DAL,"$3,900",1.0%
120,Cooper Rush,QB,BAL,LAR,"$4,500",1.0%
121,Alec Pierce,WR,IND,ARI,"$4,400",0.9%
122,Cam Ward,QB,TEN,@LV,"$4,600",0.8%
123,Gunnar Helm,TE,TEN,@LV,"$2,700",0.8%
124,Albert Okwuegbunam Jr.,TE,LV,TEN,"$2,600",0.8%
125,Zach Charbonnet,RB,SEA,@JAX,"$5,100",0.7%
126,Hassan Haskins,RB,LAC,@MIA,"$5,000",0.7%
127,Dillon Gabriel,QB,CLE,@PIT,"$4,400",0.6%
128,Isaiah Likely,TE,BAL,LAR,"$2,800",0.6%
129,Parker Washington,WR,JAX,SEA,"$3,600",0.4%
130,Rashod Bateman,WR,BAL,LAR,"$4,400",0.4%
131,Kimani Vidal,RB,LAC,@MIA,"$5,000",0.4%
132,Kenneth Gainwell,RB,PIT,CLE,"$5,400",0.4%
